name,longitude,latitude,LSOA11CD,LSOA11NM
Point.O,-0.1125451,51.4991079,E01003013,Lambeth 036A
,-0.0038425,51.5367926,E01033583,Newham 013G
,-0.0047115,51.5365155,E01033578,Newham 013E
California Hotel,-0.123438,51.5295045,E01000939,Camden 024C
,-0.1313196,51.5279482,E01000956,Camden 022E
,-0.1355105,51.5157773,E01004763,Westminster 013B
Ashling Tara Hotel,-0.192105,51.3777941,E01004144,Sutton 007A
,-0.1830049,51.5117025,E01004694,Westminster 016C
,-0.1296464,51.51352,E01004763,Westminster 013B
Travelodge,-0.2807418,51.3805078,E01002919,Kingston upon Thames 017B
London Chigwell Prince Regent Hotel,0.0585945,51.6062041,E01003657,Redbridge 005B
,-0.0796434,51.5273261,E01033706,Hackney 027F
,-0.0976403,51.3762607,E01001045,Croydon 027C
,-0.0828899,51.5266917,E01033708,Hackney 027G
,-0.122888,51.624997,E01001531,Enfield 028B
Anchor House Hotel,-0.1934461,51.5705737,E01000146,Barnet 038D
easyHotel Old Street / Barbican,-0.0946693,51.5243296,E01002706,Islington 023E
The Manor Hotel & Restaurant,0.225658,51.5276204,E01002348,Havering 029C
Premier Inn,-0.1302533,51.5110711,E01004734,Westminster 018A
,-0.4461045,51.48057,E01002447,Hillingdon 031C
,-0.4456767,51.4799778,E01002447,Hillingdon 031C
,-0.4813288,51.4832818,E01002444,Hillingdon 031A
Ibis London Excel Docklands,0.0226558,51.5079002,E01033575,Newham 034G
Novotel London ExCeL,0.023296,51.5078956,E01033575,Newham 034G
,-0.0969942,51.3748662,E01001045,Croydon 027C
,-0.1561605,51.513828,E01004657,Westminster 012A
Chiswick Lodge Hotel,-0.2551069,51.4949376,E01002573,Hounslow 001C
,-0.1751753,51.5118294,E01004682,Westminster 016B
,-0.1573143,51.515042,E01004657,Westminster 012A
,-0.1570251,51.5150834,E01004657,Westminster 012A
,-0.157413,51.5151664,E01004657,Westminster 012A
,-0.1568256,51.5152194,E01004657,Westminster 012A
,-0.1569416,51.5154817,E01004657,Westminster 012A
,-0.1576209,51.5156345,E01004657,Westminster 012A
,-0.1579804,51.5153007,E01004657,Westminster 012A
Corus Hyde Park,-0.1773046,51.5115797,E01004694,Westminster 016C
Accomodation London Bridge,-0.0902618,51.4971533,E01003936,Southwark 009A
,-0.1478229,51.504801,E01004761,Westminster 018D
,-0.1473869,51.5046298,E01004761,Westminster 018D
,-0.1476421,51.5046529,E01004761,Westminster 018D
,-0.1467705,51.5049332,E01004761,Westminster 018D
,-0.1472543,51.5046784,E01004761,Westminster 018D
Premier Inn,-0.087469,51.5274248,E01033711,Hackney 027I
Blue Boar,-0.1320106,51.4994554,E01004731,Westminster 020A
,-0.0023354,51.5374595,E01033583,Newham 013G
Colliers Hôtel,-0.1434489,51.4912877,E01004749,Westminster 022B
,-0.1475762,51.5052084,E01004761,Westminster 018D
,0.0046755,51.5422887,E01003618,Newham 012C
,0.0045358,51.5422664,E01003618,Newham 012C
,-0.1825284,51.5192133,E01004681,Westminster 016A
,-0.1716473,51.5161518,E01033594,Westminster 015G
Belgrave House Hotel,-0.1422738,51.4920965,E01004749,Westminster 022B
,-0.3177347,51.5818187,E01002127,Harrow 023B
Silver Jubilee Crystal Crown,-0.0726513,51.5070283,E01004293,Tower Hamlets 027B
,-0.0726376,51.507026,E01004293,Tower Hamlets 027B
Holiday Inn London West,-0.2629326,51.5209443,E01001238,Ealing 015B
Marble Arch,-0.1583937,51.5135654,E01004657,Westminster 012A
,-0.1151751,51.3578125,E01001172,Croydon 028D
Alhambra Hotel,-0.1236512,51.5293177,E01000939,Camden 024C
Central Hotel,-0.1239919,51.5292186,E01000942,Camden 025D
Alhambra Hotel,-0.1239302,51.5291592,E01000942,Camden 025D
Hollingbury Hotel,-0.2538187,51.5406779,E01000521,Brent 025B
,-0.1517367,51.5064945,E01004762,Westminster 011E
,-0.1516737,51.5065039,E01004762,Westminster 011E
Somerset Hotel,-0.1601543,51.5232302,E01004660,Westminster 008B
Clink78,-0.1155876,51.5288183,E01002729,Islington 021E
Camden Lock Hotel,-0.1522426,51.544108,E01000904,Camden 012C
Arbor City Hotel,-0.0698184,51.5165158,E01004309,Tower Hamlets 015D
The Lane Suite,-0.0700304,51.5168277,E01004309,Tower Hamlets 015D
Royal Horseguards Hotel,-0.1242345,51.5057937,E01004736,Westminster 018C
Hampton by Hilton London Waterloo,-0.1080219,51.5008736,E01032582,Lambeth 036E
,-0.2192317,51.5044881,E01001943,Hammersmith and Fulham 004A
Shangri-La Hotel,-0.086648,51.5042952,E01003981,Southwark 006F
,-0.1943157,51.4896848,E01002849,Kensington and Chelsea 017B
The Park Hotel,-0.1389159,51.4905332,E01004749,Westminster 022B
,-0.1378022,51.5242131,E01000854,Camden 026D
,-0.13785,51.5242795,E01000854,Camden 026D
DoubleTree by Hilton Hotel London - Chelsea,-0.1840077,51.4741227,E01001939,Hammersmith and Fulham 023C
,-0.1361782,51.5093839,E01033595,Westminster 013E
Kx Rooms,-0.1228238,51.5289201,E01000939,Camden 024C
,-0.1359355,51.5100158,E01033595,Westminster 013E
Travelodge London Woolwich,0.0630677,51.4923324,E01033737,Greenwich 004I
,-0.4542233,51.4951029,E01002446,Hillingdon 031B
,-0.1603095,51.501991,E01004689,Westminster 019C
,-0.1602376,51.5020023,E01004689,Westminster 019C
,-0.1600544,51.5024307,E01004689,Westminster 019C
,-0.3340032,51.4255091,E01003887,Richmond upon Thames 021B
,-0.0830359,51.4151849,E01001137,Croydon 001A
,-0.1604707,51.5024021,E01004689,Westminster 019C
,-0.1590887,51.5016397,E01002818,Kensington and Chelsea 012A
,-0.158633,51.5016801,E01002818,Kensington and Chelsea 012A
,-0.1599102,51.5020494,E01004689,Westminster 019C
,-0.1598715,51.5020568,E01004689,Westminster 019C
,-0.1595851,51.5021117,E01004689,Westminster 019C
London Hotel,-0.1130331,51.4615782,E01003050,Lambeth 016B
Novotel London Wembley,-0.2790191,51.5611124,E01000615,Brent 017B
Sanctum Soho Hotel,-0.138332,51.511565,E01033595,Westminster 013E
